Epoch1 Loss: 584200.0, New Best Found!!
Epoch502 Loss: 138.47386606053712, New Best Found!!
Epoch503 Loss: 138.34546811896413, New Best Found!!
Epoch504 Loss: 138.21767514338595, New Best Found!!
Epoch505 Loss: 138.09048564810524, New Best Found!!
Epoch506 Loss: 137.96389814230997, New Best Found!!
Epoch507 Loss: 137.83791112865583, New Best Found!!
Epoch508 Loss: 137.71252310191937, New Best Found!!
Epoch509 Loss: 137.5877325477211, New Best Found!!
Epoch510 Loss: 137.46353794131372, New Best Found!!
Epoch511 Loss: 137.3399377464427, New Best Found!!
Epoch512 Loss: 137.21693041427264, New Best Found!!
Epoch513 Loss: 137.094514382381, New Best Found!!
Epoch514 Loss: 136.97268807381852, New Best Found!!
